Date,SPY,TLT,LQD,FALN,HYG
2017-01-03,197.288864135742,97.3331069946289,89.3368072509766,17.2626838684082,56.7915573120117
2017-01-04,198.46257019043,97.7073822021484,89.6415405273438,17.3544902801514,57.0986404418945
2017-01-05,198.304870605469,99.23681640625,90.1214065551758,17.3461494445801,57.0137214660645
2017-01-06,199.014404296875,98.3256301879883,89.6491775512695,17.3589859008789,57.0006866455078
2017-01-09,198.357498168945,99.1147842407227,89.8243560791016,17.3654079437256,56.9875907897949
2017-01-10,198.357498168945,99.0497055053711,89.7710266113281,17.4032859802246,56.994140625
2017-01-11,198.918060302734,99.3832778930664,89.9081497192383,17.474536895752,57.026798248291
2017-01-12,198.418762207031,99.1636428833008,89.9005126953125,17.4488582611084,57.0398330688477
2017-01-13,198.874252319336,98.6917190551758,89.7177047729492,17.4231719970703,57.0594444274902
2017-01-17,198.173492431641,99.7249526977539,90.1061859130859,17.4296073913574,57.0006866455078
2017-01-18,198.611480712891,98.4476699829102,89.5120239257812,17.3686122894287,57.0529632568359
2017-01-19,197.875701904297,97.7724533081055,89.2073211669922,17.397497177124,56.8699569702148
2017-01-20,198.602722167969,97.5771942138672,89.3673095703125,17.4020042419434,56.981029510498
2017-01-23,198.085922241211,98.5534362792969,89.7786407470703,17.4437198638916,56.981029510498
2017-01-24,199.355972290039,97.8781585693359,89.5120239257812,17.5515823364258,57.0202407836914
2017-01-25,201.08154296875,96.6497344970703,89.1692657470703,17.5374507904053,57.2228546142578
2017-01-26,200.871292114258,96.9751510620117,89.2758712768555,17.5901031494141,57.196662902832
2017-01-27,200.55598449707,97.3250045776367,89.3825378417969,17.6029357910156,57.2490005493164
2017-01-30,199.312210083008,97.032112121582,89.2301940917969,17.5066337585449,57.1313629150391
2017-01-31,199.294692993164,97.7073822021484,89.3901214599609,17.5066337585449,57.0725479125977
2017-02-01,199.373550415039,97.1032180786133,89.2801666259766,17.5569725036621,57.2838516235352
2017-02-02,199.504898071289,97.0624389648438,89.3030776977539,17.5569725036621,57.3166694641113
2017-02-03,200.88005065918,97.0216903686523,89.4023590087891,17.6085834503174,57.4151496887207
2017-02-06,200.520950317383,97.6087112426758,89.6849517822266,17.6402015686035,57.3757591247559
2017-02-07,200.529693603516,98.3262023925781,89.8377151489258,17.6079349517822,57.2904090881348
2017-02-08,200.792495727539,99.6632843017578,90.15087890625,17.5918140411377,57.3297996520996
2017-02-09,201.983688354492,98.5137023925781,89.7919158935547,17.6260013580322,57.408576965332
2017-02-10,202.780746459961,98.4566192626953,89.7689590454102,17.6498832702637,57.4479331970215
2017-02-13,203.884429931641,98.1468276977539,89.7308120727539,17.7047157287598,57.5332717895508
2017-02-14,204.699005126953,97.4374771118164,89.5169372558594,17.678918838501,57.5726509094238
2017-02-15,205.767608642578,96.9890823364258,89.4481887817383,17.6595611572266,57.5923461914062
2017-02-16,205.59245300293,97.5190505981445,89.7002563476562,17.6724624633789,57.54638671875
2017-02-17,205.916534423828,98.0978927612305,89.9293594360352,17.6531105041504,57.6054496765137
2017-02-21,207.142791748047,97.9266815185547,89.9675674438477,17.6531105041504,57.7958106994629
2017-02-22,206.95881652832,98.089714050293,90.0363311767578,17.6879444122314,57.8220405578613
2017-02-23,207.098983764648,98.3832244873047,90.265495300293,17.7434329986572,57.8745536804199
2017-02-24,207.361755371094,99.4757690429688,90.7237548828125,17.7563419342041,57.9205131530762
2017-02-27,207.68586730957,98.8887557983398,90.5098876953125,17.7498874664307,57.9926986694336
2017-02-28,207.125274658203,99.255615234375,90.5709762573242,17.6905212402344,57.9467506408691
2017-03-01,210.024505615234,97.5924530029297,90.0356292724609,17.818920135498,58.1603317260742
2017-03-02,208.701873779297,97.2411956787109,89.8977737426758,17.7864894866943,57.9757347106934
2017-03-03,208.833251953125,97.4944610595703,89.9896926879883,17.7650909423828,58.0021438598633
2017-03-06,208.211395263672,97.0288009643555,89.8288803100586,17.6632919311523,57.8175354003906
2017-03-07,207.589492797852,96.7347412109375,89.384635925293,17.6049404144287,57.4417953491211
2017-03-08,207.2041015625,96.2119293212891,89.1089019775391,17.4493007659912,57.0594749450684
2017-03-09,207.466903686523,95.4440765380859,88.6264495849609,17.3922443389893,56.9078712463379
2017-03-10,208.193878173828,95.7790222167969,88.8485641479492,17.3909511566162,56.8880767822266
2017-03-13,208.299026489258,95.1744842529297,88.5498580932617,17.3779850006104,56.934268951416
2017-03-14,207.501907348633,95.6319427490234,88.6264495849609,17.3714942932129,56.7628402709961
2017-03-15,209.297546386719,96.8001098632812,89.3923263549805,17.5919570922852,57.5472946166992
2017-03-16,208.885833740234,96.3099899291992,89.2621307373047,17.5764083862305,57.3824996948242
2017-03-17,208.518951416016,96.9144592285156,89.4688720703125,17.5790023803711,57.4022750854492
2017-03-20,208.290267944336,97.3310623168945,89.6756439208984,17.5491676330566,57.2902183532715
2017-03-21,205.615936279297,98.139778137207,89.8977737426758,17.5076713562012,56.8814926147461
2017-03-22,206.099807739258,98.531852722168,90.1275634765625,17.4687690734863,57.0199241638184
2017-03-23,205.879852294922,98.3930206298828,90.0662536621094,17.4752407073975,57.039680480957
2017-03-24,205.730285644531,98.7442779541016,90.1581726074219,17.4752407073975,57.2374572753906
2017-03-27,205.519149780273,99.1935272216797,90.3496322631836,17.5238819122314,57.1781425476074
2017-03-28,207.014694213867,98.531852722168,90.1581726074219,17.5926151275635,57.4945335388184
2017-03-29,207.208206176758,99.1199951171875,90.4491958618164,17.5926151275635,57.6132011413574
